reaction_id,reactants,products,rate_constant,reaction_family,reaction_phase,publication_string,publication_doi,underlying_data_publication_string,underlying_data_publication_doi,Notes
R108,MCT+HO,MCTO,2.0500E-10*exp(0.0000E+00/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R109,MOH+HO,HO2+HCHO,2.8500E-12*exp(-3.4500E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R110,EOH+HO,HO2+ACD,3.0000E-12*exp(2.0000E+01/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R111,ROH+HO,HO2+0.71900*ALD+0.18400*ACD,2.6000E-12*exp(2.0000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R112,ETEG+HO,HO2+ACD,1.4700E-11,CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,CRACMM3: Changed mapping of hydroxyacetaldehyde product from ALD to ACD to improve carbon balance.
R113,OP1+HO,0.35000*HO+0.65000*MO2+0.35000*HCHO,2.9000E-12*exp(1.9000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R114,OP2+HO,0.01000*HO+0.44000*HC3P+0.07000*XO2+0.08000*ALD+0.41000*KET,3.4000E-12*exp(1.9000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
TRP06,OPB+HO,0.01000*HO+0.44000*HC10P+0.07000*XO2+0.08000*ALD+0.41000*KET,3.4000E-12*exp(1.9000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R116,MAHP+HO,MACP,3.0000E-11,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R117,ORA1+HO,HO2+CO2,4.5000E-13,CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,CRACMM3 update: CO2 added as product.
R118,ORA2+HO,0.64000*MO2+0.36000*ORAP+0.64000*CO2,4.0000E-14*exp(8.5000E+02/T),CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,CRACMM3 update: CO2 added as product.
R119,PAA+HO,0.35000*HO+0.65000*ACO3+0.35000*XO2+0.35000*HCHO,2.9300E-12*exp(1.9000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R120,PAN+HO,XO2+NO3+HCHO,4.0000E-14,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R121,PPN+HO,XO2+NO3+HCHO,4.0000E-14,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R122,MPAN+HO,NO2+HKET+CO,3.2000E-11,CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,CRACMM3 update: CO added as product. 
R123,ONIT+HO,HC3P+NO2,5.3100E-12*exp(-2.6000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
TRP07,VTRPN+HO,0.33000*VHONIT+0.67000*NO2+0.27000*PINAL+0.38000*KET+0.21000*HCHO+0.02000*ALD,4.8000E-12,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Fisher et al. 2016,https://doi.org/10.5194/acp-16-5969-2016,"Oxidation of TRPN assumes 1/3 is unsaturated and retains the nitrate group upon oxidation to from HONIT while the remaining 2/3 is saturated and releases the nitrate group to form NO2 and other products. The 1/3 to 2/3 split is based on Fisher et al. (2016). The coefficients of other products are based on products from alpha-pinene and beta-pinene derived nitrates in MCM with a 65/35 weighting as described in Note 1 above. From MCM products, we find a 62% yield of PINAL and a 38% yield of a ketone (KET) for alpha-pinene and a 92% yield of a ketone (KET) + HCHO and an 8% yield of an aldehyde (ALD) for beta-pinene. CRACMM3 update: Species name update to VTRPN, VHONIT."
TRP57,VHONIT+HO,HKET+NO3,k0=2.4000E-14*exp(4.6000E+02/T);k1=2.7000E-17*exp(2.1990E+03/T);k3=6.5000E-34*exp(1.3350E+03/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Fisher et al. 2016,https://doi.org/10.5194/acp-16-5969-2016,Oxidation of HONIT is based on Fisher et al. (2016). CRACMM3: Species name update to VHONIT.
R126,ETE+O3,0.08000*HO+0.15000*HO2+0.63000*CO+HCHO+0.37000*ORA1,9.1400E-15*exp(-2.5800E+03/T),CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,CRACMM3 update: CO yield increased consistent with MCM.
R127,OLT+O3,0.22000*HO+0.32000*HO2+0.08000*MO2+0.06000*ETHP+0.04000*HC3P+0.02000*HC5P+0.06800*H2O2+0.43000*CO+0.02000*ETH+0.01500*HC3+0.00600*HC5+0.03200*BEN+0.56000*HCHO+0.01000*ACD+0.44000*ALD+0.03000*ACT+0.02000*BALD+0.06000*MEK+0.01000*HKET+0.03000*ORA1+0.06000*ORA2,4.3300E-15*exp(-1.8000E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R128,OLI+O3,0.46000*HO+0.07000*HO2+0.32000*MO2+0.07000*ETHP+0.04000*HC3P+0.09000*ACO3+0.37000*CO+0.02600*H2O2+0.01000*ETH+0.01000*HC3+0.09000*HCHO+0.45700*ACD+0.73000*ALD+0.11000*ACT+0.01700*KET+0.04400*HKET+0.01700*ORA2,4.4000E-15*exp(-8.4500E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R131,API+O3,0.60550*HO+0.21450*PINALP+0.25500*H2O2+0.25350*PINAL+0.00650*ORA2+0.11050*HO2+0.11050*CO+0.45900*HCHO+0.23050*APIP1+0.05000*APIP2+0.17850*KET+0.06650*HC3+0.03850*OP1+0.02800*ORA1,8.0500E-16*exp(-6.4000E+02/T),CRACMM3,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Schwantes et al. 2020,https://doi.org/10.5194/acp-20-3739-2020,"Products in the API system have been updated to include products from alpha-pinene and beta-pinene, assuming a 65/35 split of alpha-/beta-pinene (based on biogenic emission totals over the contiguous US). Updated reactions are based on alpha-pinene and beta-pinene chemistry in the MOZART-TS2 mechanism developed by Schwantes et al. (2020). CRACMM3 update: Replace RCO3 with more specific APIP1 and APIP2 to keep in monoterpene family."
