reaction_id,reactants,products,rate_constant,reaction_family,reaction_phase,publication_string,publication_doi,underlying_data_publication_string,underlying_data_publication_doi,Notes
R172,MO2+NO,HO2+NO2+HCHO,2.8000E-12*exp(3.0000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R173,ETHP+NO,HO2+NO2+ACD,2.6000E-12*exp(3.6500E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R174,HC3P+NO,0.66000*HO2+0.13100*MO2+0.04800*ETHP+0.08900*XO2+0.93500*NO2+0.50400*ACD+0.13200*ALD+0.16500*ACT+0.04200*MEK+0.06500*ONIT,2.7000E-12*exp(3.6000E+02/T),CRACMM3,gas,NA,NA,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,Reaction and products based on RACM2. Rate constant updated to MCM representation to include temperature dependence in CRACMM3.
R175,HC5P+NO,0.20000*HO2+0.05100*MO2+0.23100*ETHP+0.23500*XO2+0.86400*NO2+0.01800*HCHO+0.04500*ACD+0.20300*ALD+0.03300*MEK+0.21700*ACT+0.03300*KET+0.27200*HKET+0.13600*ONIT,2.7000E-12*exp(3.6000E+02/T),CRACMM3,gas,NA,NA,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,Reaction and products based on RACM2. Rate constant updated to MCM representation to include temperature dependence in CRACMM3.
R177,ETEP+NO,HO2+NO2+1.60000*HCHO+0.20000*ACD,2.7000E-12*exp(3.6000E+02/T),CRACMM3,gas,NA,NA,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,Reaction and products based on RACM2. Rate constant updated to MCM representation to include temperature dependence in CRACMM3. Product updated from ALD to ACD in CRACMM3.
R178,OLTP+NO,0.78000*HO2+0.97000*NO2+0.78000*HCHO+0.01200*ACD+0.44000*ALD+0.06000*ACT+0.13000*MEK+0.03000*ONIT,2.7000E-12*exp(3.6000E+02/T),CRACMM3,gas,NA,NA,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,Reaction and products based on RACM2. Rate constant updated to MCM representation to include temperature dependence in CRACMM3.
R179,OLIP+NO,0.83000*HO2+0.95000*NO2+0.81000*ACD+0.68000*ALD+0.20000*ACT+0.09000*KET+0.02000*HKET+0.05000*ONIT,2.7000E-12*exp(3.6000E+02/T),CRACMM3,gas,NA,NA,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,Reaction and products based on RACM2. Rate constant updated to MCM representation to include temperature dependence in CRACMM3.
ROCARO33,BENP+NO,0.00000*ONIT+0.00120*VROCP4OXY2+0.00080*VROCN1OXY6+0.99800*NO2+0.99800*HO2+0.00000*BALD+0.99800*GLY+0.49900*FURANONE+0.24950*DCB2+0.24950*DCB3,2.7000E-12*exp(3.6000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
ROCARO43,TOLP+NO,0.00020*ONIT+0.00130*VROCP4OXY2+0.00060*VROCN1OXY6+0.99800*NO2+0.99800*HO2+0.08520*BALD+0.54770*GLY+0.36510*MGLY+0.36510*FURANONE+0.54770*DCB1,2.7000E-12*exp(3.6000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
ROCARO53,XYLP+NO,0.00010*ONIT+0.00130*VROCP3OXY2+0.00060*VROCP0OXY4+0.99800*NO2+0.99800*HO2+0.04810*BALD+0.70290*GLY+0.24700*MGLY+0.35150*FURANONE+0.59840*DCB2,2.7000E-12*exp(3.6000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
ROCARO63,EBZP+NO,0.00020*ONIT+0.00130*VROCP3OXY2+0.00060*VROCP0OXY4+0.99800*NO2+0.99800*HO2+0.08520*BALD+0.54770*GLY+0.36510*MGLY+0.45640*FURANONE+0.45640*DCB2,2.7000E-12*exp(3.6000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R189,APIP1+NO,0.23700*VTRPN+0.76300*HO2+0.76300*NO2+0.19500*PINAL+0.28400*ALD+0.08650*ACT+0.12850*LIMAL+0.30800*HCHO+0.07150*OPB+0.08400*KET,2.7000E-12*exp(3.6000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Schwantes et al. 2020,https://doi.org/10.5194/acp-20-3739-2020,"Products in the API system have been updated to include products from alpha-pinene and beta-pinene, assuming a 65/35 split of alpha-/beta-pinene (based on biogenic emission totals over the contiguous US). Updated reactions are based on alpha-pinene and beta-pinene chemistry in the MOZART-TS2 mechanism developed by Schwantes et al. (2020). CRACMM3: VTRPN name update."
